,bitfinex_MTS,bitfinex_OPEN,bitfinex_CLOSE,bitfinex_HIGH,bitfinex_LOW,bitfinex_VOLUME
0,2020/04/30 0:00,8782.1,8802.153984,8805,8707,929.4709363
1,2020/04/29 23:00,8752.8,8778.7,8788,8701.1,324.8412563
2,2020/04/29 22:00,8856.6,8752.8,8856.6,8681.066425,604.9815162
3,2020/04/29 21:00,8911.5,8856.623056,8918,8742.1,1204.363562
4,2020/04/29 20:00,8708.7,8911.5,8912,8689.3,737.5930827
5,2020/04/29 19:00,8614.9,8708.2,8755,8614.9,617.5040911
6,2020/04/29 18:00,8698,8614.1,8729,8578.1,1332.091806
7,2020/04/29 17:00,8578.4,8697.9,8908,8575.1,4884.967327
8,2020/04/29 16:00,8353.6,8576.3,8761.3,8329.8,6213.577456
9,2020/04/29 15:00,8344.2,8353.512604,8365,8282.5,543.2244556
10,2020/04/29 14:00,8280,8344.4,8344.9,8248.962567,654.232333
11,2020/04/29 13:00,8230,8280,8362,8229.9,3544.389352
12,2020/04/29 12:00,8121.2,8230,8242.7,8121.1,1005.674034
13,2020/04/29 11:00,8104.733285,8121.2,8202.8,8101,1461.299328
14,2020/04/29 10:00,7973.3,8104.7,8136.6,7965,2166.461806
15,2020/04/29 9:00,7937.9,7973.3,7980,7930.2,476.9464557
16,2020/04/29 8:00,7934.9,7937.8,7961.522816,7924.149095,267.3173354
17,2020/04/29 7:00,7946.3,7934.9,7964.6,7914.034797,470.5018727
18,2020/04/29 6:00,7866.5,7946.2,7949,7850.4,1117.521152
19,2020/04/29 5:00,7846.7,7865.6,7879.917442,7837.3,475.0140417
20,2020/04/29 4:00,7824.9,7846.7,7854.9,7810,438.514712
21,2020/04/29 3:00,7788.973332,7822.1,7840.2,7788.973332,321.1052346
22,2020/04/29 2:00,7763.005605,7788.9,7844,7705.1,1199.441839
23,2020/04/29 1:00,7736.8,7763.005605,7763.3,7736.3,59.80407253
24,2020/04/29 0:00,7750.6,7736.9,7764.8,7736.3,130.1519296
25,2020/04/28 23:00,7748.2,7750.7,7762.9,7743,116.5667976
26,2020/04/28 22:00,7721.8,7748.2,7760.2,7719,163.1561833
27,2020/04/28 21:00,7719,7721.9,7721.939206,7704.1,87.04848385
28,2020/04/28 20:00,7708.800935,7719.107398,7726.6,7699.5,191.8917739
29,2020/04/28 19:00,7732.9,7710,7735,7703.1,84.05742476
30,2020/04/28 18:00,7728.21624,7732.9,7734.1,7719.7,135.8404419
31,2020/04/28 17:00,7722.1,7724.3,7739,7711.5,142.5962357
32,2020/04/28 16:00,7715.6,7722.1,7738.9,7707,152.22437
33,2020/04/28 15:00,7679.5,7715.6,7722,7667.8,247.1940626
34,2020/04/28 14:00,7724.2,7679,7736.1,7679,884.1110844
35,2020/04/28 13:00,7757.5,7724.3,7759.9,7723.3,239.8141333
36,2020/04/28 12:00,7735.2,7758.2,7758.2,7721.7,235.9963817
37,2020/04/28 11:00,7746.6,7735.244315,7749.8,7733.3,201.583112
38,2020/04/28 10:00,7735.690007,7746.5,7750,7721,130.0067248
39,2020/04/28 9:00,7687.1,7735.6,7736.6,7686.892537,274.3044697
40,2020/04/28 8:00,7699.9,7687.1,7700.2,7679.9,81.37287113
41,2020/04/28 7:00,7706.2,7699.8,7706.2,7688.370445,105.1664729
42,2020/04/28 6:00,7692.9,7706.4,7718.5,7677,255.3844384
43,2020/04/28 5:00,7674.6,7693,7693.2,7664.1,361.7869646
44,2020/04/28 4:00,7694.347805,7674.6,7694.4,7658.6,426.3463346
45,2020/04/28 3:00,7694.531651,7694.4,7696.7,7681.8,328.6145643
46,2020/04/28 2:00,7691.4,7694.6,7694.6,7655.8,411.2607601
47,2020/04/28 1:00,7739,7691.80807,7739,7679.7,236.0906657
